PageName,WikidataID,ImageURL
Willis Tower,Q29294,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Willis_Tower_From_Lake.jpg/450px-Willis_Tower_From_Lake.jpg
Red Fort,Q45957,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Delhi_fort.jpg/450px-Delhi_fort.jpg
Merdeka 118,Q7969454,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Merdeka_118_20230317.jpg/450px-Merdeka_118_20230317.jpg
Konark Sun Temple,Q752091,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Konarka_Temple.jpg/450px-Konarka_Temple.jpg
Western Wall,Q134821,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Westernwall2.jpg/450px-Westernwall2.jpg
Madison Square Garden,Q186125,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Madison_Square_Garden_%28MSG%29_-_Full_%2848124330357%29.jpg/450px-Madison_Square_Garden_%28MSG%29_-_Full_%2848124330357%29.jpg
Biltmore Estate,Q585521,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Biltmore_Estate%2C_Asheville%2C_North_Carolina.jpg/450px-Biltmore_Estate%2C_Asheville%2C_North_Carolina.jpg
Ephesus,Q47611,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ephesus_Celsus_Library_Fa%C3%A7ade.jpg/450px-Ephesus_Celsus_Library_Fa%C3%A7ade.jpg
Kremlin,Q133274,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Moscow_Kremlin_%288281675670%29.jpg/450px-Moscow_Kremlin_%288281675670%29.jpg
Hoover Dam,Q172822,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Ansel_Adams_-_National_Archives_79-AAB-01.jpg/450px-Ansel_Adams_-_National_Archives_79-AAB-01.jpg
CN Tower,Q134883,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Toronto_-_ON_-_Toronto_Harbourfront7.jpg/450px-Toronto_-_ON_-_Toronto_Harbourfront7.jpg
7 World Trade Center,Q270066,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/7_World_Trade_Center.jpg/450px-7_World_Trade_Center.jpg
Gunung Padang,Q3120910,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Situs_Megalitikum_Gunung_Padang_Cianjur.jpg/450px-Situs_Megalitikum_Gunung_Padang_Cianjur.jpg
Ellora Caves,Q189616,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Ellora_Caves%2C_India%2C_Kailasanatha_Temple_2.jpg/450px-Ellora_Caves%2C_India%2C_Kailasanatha_Temple_2.jpg
Flatiron Building,Q220728,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Edificio_Fuller_%28Flatiron%29_en_2010_desde_el_Empire_State_crop_boxin.jpg/450px-Edificio_Fuller_%28Flatiron%29_en_2010_desde_el_Empire_State_crop_boxin.jpg
Cinque Terre,Q275639,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Cinque_Terre_%28Italy%2C_October_2020%29_-_11_%2850543748322%29.jpg/450px-Cinque_Terre_%28Italy%2C_October_2020%29_-_11_%2850543748322%29.jpg
Sigiriya,Q272153,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Beauty_of_Sigiriya_by_Binuka.jpg/450px-Beauty_of_Sigiriya_by_Binuka.jpg
Gateway Arch,Q2027162,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Gateway_Arch_%2848832444%29.jpeg/450px-Gateway_Arch_%2848832444%29.jpeg
Tokyo Skytree,Q57965,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/2019_Tokyo_Skytree.jpg/450px-2019_Tokyo_Skytree.jpg
The Shard,Q18536,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/The_Shard_from_the_Sky_Garden_2015.jpg/450px-The_Shard_from_the_Sky_Garden_2015.jpg
Königsberg,Q4120832,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/K%C3%B6nigsberg_Castle.jpg/450px-K%C3%B6nigsberg_Castle.jpg
Winchester Mystery House,Q608039,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/SOUTH_END_OF_EAST_FRONT_-_Winchester_House%2C_525_South_Winchester_Boulevard%2C_San_Jose%2C_Santa_Clara_County%2C_CA_HABS_CAL%2C43-SANJOS%2C9-3.jpg/450px-SOUTH_END_OF_EAST_FRONT_-_Winchester_House%2C_525_South_Winchester_Boulevard%2C_San_Jose%2C_Santa_Clara_County%2C_CA_HABS_CAL%2C43-SANJOS%2C9-3.jpg
Epcot,Q1052042,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Spaceship_Earth_and_entry_plaza_2021.jpg/450px-Spaceship_Earth_and_entry_plaza_2021.jpg
Masada,Q186312,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Israel-2013-Aerial_21-Masada.jpg/450px-Israel-2013-Aerial_21-Masada.jpg
Burj Al Arab,Q62939,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Burj_Al_Arab%2C_Dubai%2C_by_Joi_Ito_Dec2007.jpg/450px-Burj_Al_Arab%2C_Dubai%2C_by_Joi_Ito_Dec2007.jpg
Hearst Castle,Q378143,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Hearst_Castle_Casa_Grande_September_2012_panorama_2.jpg/450px-Hearst_Castle_Casa_Grande_September_2012_panorama_2.jpg
Delphi,Q75459,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Delphi%2C_Greece_-_panoramio.jpg/450px-Delphi%2C_Greece_-_panoramio.jpg
"Blue Mosque, Istanbul",Q80541,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Istanbul_%2834223582516%29_%28cropped%29.jpg/450px-Istanbul_%2834223582516%29_%28cropped%29.jpg
Great Pyramid of Cholula,Q1417475,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Gran_Pir%C3%A1mide_de_Cholula%2C_Puebla%2C_M%C3%A9xico%2C_2013-10-12%2C_DD_10.JPG/450px-Gran_Pir%C3%A1mide_de_Cholula%2C_Puebla%2C_M%C3%A9xico%2C_2013-10-12%2C_DD_10.JPG
Borobudur,Q42798,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Borobudur_Temple.jpg/450px-Borobudur_Temple.jpg
Central Park Tower,Q2631701,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Central_Park_Tower_April_2021.jpg/450px-Central_Park_Tower_April_2021.jpg
Valley of the Kings,Q133423,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Luxor%2C_Tal_der_K%C3%B6nige_%281995%2C_860x605%29.jpg/450px-Luxor%2C_Tal_der_K%C3%B6nige_%281995%2C_860x605%29.jpg
Statue of Equality (Ramanuja),Q30668287,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Statue_of_Equality_%28Ramanuja%29.jpg/450px-Statue_of_Equality_%28Ramanuja%29.jpg
The Haunted Mansion,Q2030983,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Haunted_Mansion_Exterior.JPG/450px-Haunted_Mansion_Exterior.JPG
Sanchi,Q181123,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/East_Gateway_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4398.JPG/450px-East_Gateway_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4398.JPG
The Dakota,Q829806,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/The_Dakota_%2848269594271%29.jpg/450px-The_Dakota_%2848269594271%29.jpg
Sandringham House,Q935116,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Sandringham_House_from_the_air_%28cropped%29.jpg/450px-Sandringham_House_from_the_air_%28cropped%29.jpg
Crazy Horse Memorial,Q1139250,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/CrazyHorse.jpg/450px-CrazyHorse.jpg
Agra Fort,Q171857,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Agra_03-2016_10_Agra_Fort.jpg/450px-Agra_03-2016_10_Agra_Fort.jpg
Topkapı Palace,Q170495,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Topkap%C4%B1_-_01.jpg/450px-Topkap%C4%B1_-_01.jpg
Liberty Bell,Q390306,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Liberty_Bell_2017a.jpg/450px-Liberty_Bell_2017a.jpg
Kia Forum,Q639129,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Forum_Inglewood.JPG/450px-Forum_Inglewood.JPG
Lascaux,Q172125,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Lascaux_painting.jpg/450px-Lascaux_painting.jpg
Khajuraho Group of Monuments,Q26258435,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Khajuraho_Group_of_Monuments_4.jpg/450px-Khajuraho_Group_of_Monuments_4.jpg
Nalanda mahavihara,Q216243,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Temple_No.-_3%2C_Nalanda_Archaeological_Site.jpg/450px-Temple_No.-_3%2C_Nalanda_Archaeological_Site.jpg
Caesars Superdome,Q756452,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Louisiana_Superdome_-_Unbranded_-_26_July_2021.jpg/450px-Louisiana_Superdome_-_Unbranded_-_26_July_2021.jpg
Intuit Dome,Q54958436,https://upload.wikimedia.org/wikipedia/en/0/02/Clippers_Arena.jpg
Climate Pledge Arena,Q977529,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Climate_Pledge_Arena_N.jpg/450px-Climate_Pledge_Arena_N.jpg
Crimean Bridge,Q2652980,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/%D0%9A%D1%80%D1%8B%D0%BC%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%BE%D1%81%D1%82_13_%D1%81%D0%B5%D0%BD%D1%82%D1%8F%D0%B1%D1%80%D1%8F_2019_%D0%B3%D0%BE%D0%B4%D0%B0_%281%29.jpg/450px-%D0%9A%D1%80%D1%8B%D0%BC%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%BE%D1%81%D1%82_13_%D1%81%D0%B5%D0%BD%D1%82%D1%8F%D0%B1%D1%80%D1%8F_2019_%D0%B3%D0%BE%D0%B4%D0%B0_%281%29.jpg
Mosque–Cathedral of Córdoba,Q33200,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Mezquita_de_C%C3%B3rdoba_desde_el_aire_%28C%C3%B3rdoba%2C_Espa%C3%B1a%29.jpg/450px-Mezquita_de_C%C3%B3rdoba_desde_el_aire_%28C%C3%B3rdoba%2C_Espa%C3%B1a%29.jpg
Iron pillar of Delhi,Q543419,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/QtubIronPillar.JPG/450px-QtubIronPillar.JPG
Hotel Chelsea,Q240711,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/NY_chelsea_hotel.jpg/450px-NY_chelsea_hotel.jpg
Brihadisvara Temple,Q916943,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Brihadesvara_Temple%2C_Tanjavur%2C_India_02.jpg/450px-Brihadesvara_Temple%2C_Tanjavur%2C_India_02.jpg
Smyrna,Q1379299,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Agora_of_Smyrna%2C_built_during_the_Hellenistic_era_at_the_base_of_Pagos_Hill_and_totally_rebuilt_under_Marcus_Aurelius_after_the_destructive_178_AD_earthquake%2C_Izmir%2C_Turkey_%2818702047681%29.jpg/450px-thumbnail.jpg
Cliffs of Moher,Q239477,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Cliffs-Of-Moher-OBriens-From-South.JPG/450px-Cliffs-Of-Moher-OBriens-From-South.JPG
Schönbrunn Palace,Q131330,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Wien_-_Schloss_Sch%C3%B6nbrunn.JPG/450px-Wien_-_Schloss_Sch%C3%B6nbrunn.JPG
Waldorf Astoria New York,Q1123997,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/St_Bartholomews_and_The_Waldorf_Astoria_Hotel.jpg/450px-St_Bartholomews_and_The_Waldorf_Astoria_Hotel.jpg
The Stanley Hotel,Q7766239,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/The_Stanley_Hotel_in_Estes_Park%2C_a_town_on_the_eastern_edge_of_Rocky_Mountain_National_Park_in_north-central_Colorado_LCCN2015633407.tif/lossy-page1-450px-The_Stanley_Hotel_in_Estes_Park%2C_a_town_on_the_eastern_edge_of_Rocky_Mountain_National_Park_in_north-central_Colorado_LCCN2015633407.tif.jpg
Çatalhöyük,Q192522,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/%C3%87atalh%C3%B6y%C3%BCk%2C_7400_BC%2C_Konya%2C_Turkey_-_UNESCO_World_Heritage_Site%2C_08.jpg/450px-%C3%87atalh%C3%B6y%C3%BCk%2C_7400_BC%2C_Konya%2C_Turkey_-_UNESCO_World_Heritage_Site%2C_08.jpg
Memorial to the Murdered Jews of Europe,Q160700,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Memorial_to_the_Murdered_Jews_of_Europeabove.jpg/450px-Memorial_to_the_Murdered_Jews_of_Europeabove.jpg
Astrodome,Q1025406,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Reliant_Astrodome_in_January_2014.jpg/450px-Reliant_Astrodome_in_January_2014.jpg
Cave of the Patriarchs,Q204200,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Hebron_Cave_of_the_Patriarchs.jpg/450px-Hebron_Cave_of_the_Patriarchs.jpg
Ziggurat of Ur,Q202927,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Ziggarat_of_Ur_001.jpg/450px-Ziggarat_of_Ur_001.jpg
Humayun's Tomb,Q189648,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Tomb_of_Humayun%2C_Delhi.jpg/450px-Tomb_of_Humayun%2C_Delhi.jpg
Vessel (structure),Q27988215,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Hudson_Yards_Plaza_March_2019_53.jpg/450px-Hudson_Yards_Plaza_March_2019_53.jpg
Richard Proenneke,Q937007,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Richard_Proenneke_in_his_cabin.jpeg/450px-Richard_Proenneke_in_his_cabin.jpeg
Biosphere 2,Q68139,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Wiki_bio2_sunset_001.jpg/450px-Wiki_bio2_sunset_001.jpg
Plaza Hotel,Q1066676,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/New_York_-_Manhattan_-_Plaza_Hotel.jpg/450px-New_York_-_Manhattan_-_Plaza_Hotel.jpg
Elephanta Caves,Q649384,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/ElephantaCaves4.jpg/450px-ElephantaCaves4.jpg
Project Y,Q27832090,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Army-Navy_E_Award.jpg/450px-Army-Navy_E_Award.jpg
Casa Batlló,Q461371,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Casa_Batllo_Overview_Barcelona_Spain_cut.jpg/450px-Casa_Batllo_Overview_Barcelona_Spain_cut.jpg
American Museum of Natural History,Q217717,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/USA-NYC-American_Museum_of_Natural_History.JPG/450px-USA-NYC-American_Museum_of_Natural_History.JPG
One Vanderbilt,Q18398409,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/One_Vanderbilt_April_2021.jpg/450px-One_Vanderbilt_April_2021.jpg
Shaniwar Wada,Q1351060,
Cotton Bowl (stadium),Q1136764,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Fair_Park_August_2016_40_%28Cotton_Bowl_Stadium%29.jpg/450px-Fair_Park_August_2016_40_%28Cotton_Bowl_Stadium%29.jpg
Belém Tower,Q215003,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Torre_Bel%C3%A9m_April_2009-4a.jpg/450px-Torre_Bel%C3%A9m_April_2009-4a.jpg
Golden Bridge (Vietnam),Q55954790,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Golden_Bridge_Da-Nang.jpg/450px-Golden_Bridge_Da-Nang.jpg
Fort Ticonderoga,Q1438776,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Fort_Ticonderoga%2C_Ticonderoga%2C_NY.jpg/450px-Fort_Ticonderoga%2C_Ticonderoga%2C_NY.jpg
432 Park Avenue,Q233940,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/432_Park_Avenue%2C_NY_%28cropped%292.jpg/450px-432_Park_Avenue%2C_NY_%28cropped%292.jpg
Statue of Belief,Q113070852,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Statue_of_Belief.jpg/450px-Statue_of_Belief.jpg
Chesapeake Bay Bridge,Q1319988,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Chesapeake_Bay_Bridge_viewed_from_Sandy_Point_State_Park.jpg/450px-Chesapeake_Bay_Bridge_viewed_from_Sandy_Point_State_Park.jpg
Capernaum,Q59174,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Sites_of_Christianity_in_the_Galillee_-_Ruins_of_the_ancient_Great_Synagogue_at_Capernaum_%28or_Kfar_Nahum%29_on_the_shore_of_the_Lake_of_Galilee%2C_Northern_Israel.jpg/450px-thumbnail.jpg
Rani ki Vav,Q7293002,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Rani_ki_vav_02.jpg/450px-Rani_ki_vav_02.jpg
Abbey Road Studios,Q209651,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Abbey_road_studios.jpg/450px-Abbey_road_studios.jpg
Carnegie Hall,Q200959,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Carnegie_Hall_-_Full_%2848155558466%29.jpg/450px-Carnegie_Hall_-_Full_%2848155558466%29.jpg
Tate Modern,Q193375,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Tate_Modern_-_Bankside_Power_Station.jpg/450px-Tate_Modern_-_Bankside_Power_Station.jpg
Bridge of Sighs,Q52517,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Antonio_Contin_-_Ponte_dei_sospiri_%28Venice%29.jpg/450px-Antonio_Contin_-_Ponte_dei_sospiri_%28Venice%29.jpg
Murud-Janjira,Q301996,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Murud_Janjira_Panoramic_View.jpg/450px-Murud_Janjira_Panoramic_View.jpg
SIS Building,Q198536,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/SIS_building_%2826327425611%29.jpg/450px-SIS_building_%2826327425611%29.jpg
Mandalay Bay,Q1368043,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Mandalay_Bay_May_22_2023.jpg/450px-Mandalay_Bay_May_22_2023.jpg
Yad Vashem,Q156591,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Yad_Vashem_View.jpg/450px-Yad_Vashem_View.jpg
Kew Palace,Q1050082,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/The_Dutch_House_at_Kew_Palace.jpg/450px-The_Dutch_House_at_Kew_Palace.jpg
