PageName,WikidataID,ImageURL
Babylon,Q5684,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Street_in_Babylon.jpg/450px-Street_in_Babylon.jpg
Sagrada Família,Q48435,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Sagrada_Familia_%28July_2022%29_08.jpg/450px-Sagrada_Familia_%28July_2022%29_08.jpg
Statue of Unity,Q7604504,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Statue_of_Unity.jpg/450px-Statue_of_Unity.jpg
Hagia Sophia,Q12506,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Aya_Sophia_%287144824757%29.jpg/450px-Aya_Sophia_%287144824757%29.jpg
Antilia (building),Q576952,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Mumbai_03-2016_19_Antilia_Tower.jpg/450px-Mumbai_03-2016_19_Antilia_Tower.jpg
Adiyogi Shiva statue,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Adiyogi_Shiva_steel_burst_2018.jpg/450px-Adiyogi_Shiva_steel_burst_2018.jpg
Mont-Saint-Michel,Q20892,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Mont-Saint-Michel_vu_du_ciel.jpg/450px-Mont-Saint-Michel_vu_du_ciel.jpg
Wembley Stadium,Q128468,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/London_Wembley.jpg/450px-London_Wembley.jpg
Mar-a-Lago,Q1262898,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Mar-a-Lago%2C_Palm_Beach._FL%2C_US.jpg/450px-Mar-a-Lago%2C_Palm_Beach._FL%2C_US.jpg
Westminster Abbey,Q5933,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Westminster_Abbey_St_Peter.jpg/450px-Westminster_Abbey_St_Peter.jpg
Chichen Itza,Q5859,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Chichen_Itza_3.jpg/450px-Chichen_Itza_3.jpg
Hadrian's Wall,Q57357,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Hadrians_Wall_map.svg/450px-Hadrians_Wall_map.svg.png
Parthenon,Q10288,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/The_Parthenon_in_Athens.jpg/450px-The_Parthenon_in_Athens.jpg
Carthage,Q6343,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Montage_ville_de_Carthage.png/450px-Montage_ville_de_Carthage.png
Georgia Guidestones,Q958391,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Georgia_Guidestones%2C_Elbert_County%2C_GA%2C_US_%2805%29.jpg/450px-Georgia_Guidestones%2C_Elbert_County%2C_GA%2C_US_%2805%29.jpg
Alhambra,Q47476,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Dawn_Charles_V_Palace_Alhambra_Granada_Andalusia_Spain.jpg/450px-Dawn_Charles_V_Palace_Alhambra_Granada_Andalusia_Spain.jpg
