PageName,WikidataID,ImageURL
Alia Bhatt,Q4725343,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Alia_Bhatt_at_Berlinale_2022_Ausschnitt.jpg/450px-Alia_Bhatt_at_Berlinale_2022_Ausschnitt.jpg
Novak Djokovic,Q5812,https://upload.wikimedia.org/wikipedia/commons/4/48/Novak_Djokovi%C4%87_Trophy_Wimbledon_2019-croped_and_edited.jpg
Pelé,Q12897,https://upload.wikimedia.org/wikipedia/commons/5/5e/Pele_con_brasil_%28cropped%29.jpg
Erling Haaland,Q28967995,https://upload.wikimedia.org/wikipedia/commons/6/6e/Erling_Haaland_2023_%28cropped-v2%29.jpg
Vivek Ramaswamy,Q27881473,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Vivek_Ramaswamy_by_Gage_Skidmore.jpg/450px-Vivek_Ramaswamy_by_Gage_Skidmore.jpg
Robert F. Kennedy Jr.,Q1352872,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Robert_F._Kennedy_Jr._by_Gage_Skidmore.jpg/450px-Robert_F._Kennedy_Jr._by_Gage_Skidmore.jpg
Aaron Carter,Q301818,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Aaron_Carter_Performing_at_the_Gramercy_Theatre_-_Photo_by_Peter_Dzubay_%28cropped_2%29.jpg/450px-Aaron_Carter_Performing_at_the_Gramercy_Theatre_-_Photo_by_Peter_Dzubay_%28cropped_2%29.jpg
Cillian Murphy,Q202589,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Cillian_Murphy-2014.jpg/450px-Cillian_Murphy-2014.jpg
Bella Ramsey,Q24891605,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Bella_Ramsey_at_the_2022_TIFF_Premiere_of_Catherine_Called_Birdy_%2852358884151%29_%28cropped%29.jpg/450px-Bella_Ramsey_at_the_2022_TIFF_Premiere_of_Catherine_Called_Birdy_%2852358884151%29_%28cropped%29.jpg
Carlos Alcaraz,Q85518537,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Alcaraz_MCM22_%2827%29_%2852036462443%29_%28edited%29.jpg/450px-Alcaraz_MCM22_%2827%29_%2852036462443%29_%28edited%29.jpg
Florence Pugh,Q22277803,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Florence_Pugh_-_The_Wonder_BFI_London_Film_Festival_Premiere%2C_October_2022_%28cropped%29.jpg/450px-Florence_Pugh_-_The_Wonder_BFI_London_Film_Festival_Premiere%2C_October_2022_%28cropped%29.jpg
