PageName,WikidataID,ImageURL
J. Robert Oppenheimer,Q132537,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Oppenheimer_%28cropped%29.jpg/450px-Oppenheimer_%28cropped%29.jpg
Jenna Ortega,Q21738166,https://upload.wikimedia.org/wikipedia/commons/0/0a/Jenna_Ortega_2022_%28cropped%29.jpg
Andrew Tate,Q18637166,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Andrew_Tate_-_James_Tamim_Upload_%28Cropped_Wide_Portrait%29.png/450px-Andrew_Tate_-_James_Tamim_Upload_%28Cropped_Wide_Portrait%29.png
Ansel Adams,Q60809,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Ansel_Adams_and_camera.jpg/450px-Ansel_Adams_and_camera.jpg
Kylian Mbappé,Q21621995,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank%E2%80%93129_%28cropped%29.jpg/450px-2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank%E2%80%93129_%28cropped%29.jpg
Matthew Perry,Q171758,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Matthew_Perry_2013.jpg/450px-Matthew_Perry_2013.jpg
Elvis Presley,Q303,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Elvis_Presley_promoting_Jailhouse_Rock.jpg/450px-Elvis_Presley_promoting_Jailhouse_Rock.jpg
Sinéad O'Connor,Q193982,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sinead_O%27Connor_%2814828633401%29_%28cropped%29.jpg/450px-Sinead_O%27Connor_%2814828633401%29_%28cropped%29.jpg
Pedro Pascal,Q14752155,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Pedro_Pascal_by_Gage_Skidmore.jpg/450px-Pedro_Pascal_by_Gage_Skidmore.jpg
David Beckham,Q10520,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Beckswimbledon.jpg/450px-Beckswimbledon.jpg
Tom Cruise,Q37079,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Tom_Cruise_by_Gage_Skidmore_2.jpg/450px-Tom_Cruise_by_Gage_Skidmore_2.jpg
Margot Robbie,Q1924847,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SYDNEY%2C_AUSTRALIA_-_JANUARY_23_Margot_Robbie_arrives_at_the_Australian_Premiere_of_%27I%2C_Tonya%27_on_January_23%2C_2018_in_Sydney%2C_Australia_%2828074883999%29_%28cropped%29.jpg/450px-thumbnail.jpg
Arnold Schwarzenegger,Q2685,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Arnold_Schwarzenegger_by_Gage_Skidmore_4.jpg/450px-Arnold_Schwarzenegger_by_Gage_Skidmore_4.jpg
Keanu Reeves,Q43416,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Reuni%C3%A3o_com_o_ator_norte-americano_Keanu_Reeves_%2846806576944%29_%28cropped%29.jpg/450px-Reuni%C3%A3o_com_o_ator_norte-americano_Keanu_Reeves_%2846806576944%29_%28cropped%29.jpg
Rihanna,Q36844,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Rihanna_Fenty_2018.png/450px-Rihanna_Fenty_2018.png
LeBron James,Q36159,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/LeBron_James_%2851959977144%29_%28cropped2%29.jpg/450px-LeBron_James_%2851959977144%29_%28cropped2%29.jpg
Michael Jordan,Q41421,https://upload.wikimedia.org/wikipedia/commons/a/ae/Michael_Jordan_in_2014.jpg
Neymar,Q142794,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/20180610_FIFA_Friendly_Match_Austria_vs._Brazil_Neymar_850_1705.jpg/450px-20180610_FIFA_Friendly_Match_Austria_vs._Brazil_Neymar_850_1705.jpg
Bruce Willis,Q2680,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Bruce_Willis_by_Gage_Skidmore_3.jpg/450px-Bruce_Willis_by_Gage_Skidmore_3.jpg
Brendan Fraser,Q193555,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Brendan_Fraser_October_2022.jpg/450px-Brendan_Fraser_October_2022.jpg
Sylvester Stallone,Q40026,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Sylvester_Stallone_Cannes_2019.jpg/450px-Sylvester_Stallone_Cannes_2019.jpg
Riley Keough,Q254947,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Riley_Keough_Cannes_2016_%282%29.jpg/450px-Riley_Keough_Cannes_2016_%282%29.jpg
Dwayne Johnson,Q10738,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Dwayne_Johnson_2014_%28cropped%29.jpg/450px-Dwayne_Johnson_2014_%28cropped%29.jpg
Ryan Reynolds,Q192682,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Deadpool_2_Japan_Premiere_Red_Carpet_Ryan_Reynolds_%28cropped%29.jpg/450px-Deadpool_2_Japan_Premiere_Red_Carpet_Ryan_Reynolds_%28cropped%29.jpg
Priscilla Presley,Q234773,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Priscilla_presley_and_jerry_schilling_-_49174935637_%28cropped%29.jpg/450px-Priscilla_presley_and_jerry_schilling_-_49174935637_%28cropped%29.jpg
Harrison Ford,Q81328,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Harrison_Ford_by_Gage_Skidmore_3.jpg/450px-Harrison_Ford_by_Gage_Skidmore_3.jpg
